name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"LeBron James","Cleveland Cavaliers",2015-11-28,2015,1966,1610612739,400828127,1,2,49,0,"Driving Bank shot","2PT Field Goal",15,"Brooklyn Nets",-151,43,12,11.00,"Young, Thaddeus",2.40,13.30
"LeBron James","Miami Heat",2012-04-22,2011,1966,1610612748,320422014,1,9,54,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Houston Rockets",18,151,,,,,
"LeBron James","Miami Heat",2012-02-05,2011,1966,1610612748,320205014,3,2,07,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Toronto Raptors",-185,7,,,,,
"LeBron James","Cleveland Cavaliers",2014-12-28,2014,1966,1610612739,400578745,3,10,14,0,"Fadeaway Jump Shot","2PT Field Goal",20,"Detroit Pistons",-199,58,6,6.00,"Singler, Kyle",3.40,1.30
"LeBron James","Cleveland Cavaliers",2015-03-01,2014,1966,1610612739,400579175,4,6,11,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Houston Rockets",143,113,6,8.70,"Motiejunas, Donatas",4.00,7.80
"LeBron James","Miami Heat",2014-01-23,2013,1966,1610612748,400489504,3,6,34,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Los Angeles Lakers",160,30,6,7.70,"Young, Nick",3.10,7.00
"LeBron James","Cleveland Cavaliers",2016-12-07,2016,1966,1610612739,400899769,1,8,27,1,"Fadeaway Jump Shot","2PT Field Goal",15,"New York Knicks",-155,16,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2014-01-20,2013,1966,1610612748,400489485,1,0,00,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",-136,74,0,0.40,"Carroll, DeMarre",2.60,0.00
"LeBron James","Miami Heat",2011-03-18,2010,1966,1610612748,310318001,3,0,03,0,"Fadeaway Jump Shot","2PT Field Goal",22,"Atlanta Hawks",61,216,,,,,
"LeBron James","Miami Heat",2012-01-19,2011,1966,1610612748,320119014,4,9,31,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Los Angeles Lakers",157,-3,,,,,
"LeBron James","Miami Heat",2012-04-08,2011,1966,1610612748,320408014,2,1,19,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Detroit Pistons",127,138,,,,,
"LeBron James","Miami Heat",2012-03-14,2011,1966,1610612748,320314004,3,2,22,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Chicago Bulls",97,138,,,,,
"LeBron James","Miami Heat",2012-01-13,2011,1966,1610612748,320113007,3,2,11,1,"Fadeaway Jump Shot","2PT Field Goal",20,"Denver Nuggets",-199,58,,,,,
"LeBron James","Miami Heat",2011-03-18,2010,1966,1610612748,310318001,1,1,53,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Atlanta Hawks",-187,50,,,,,
"LeBron James","Miami Heat",2012-04-06,2011,1966,1610612748,320406014,1,4,22,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Memphis Grizzlies",125,96,,,,,
"LeBron James","Cleveland Cavaliers",2016-03-26,2015,1966,1610612739,400828973,4,5,04,0,"Fadeaway Jump Shot","2PT Field Goal",16,"New York Knicks",-27,159,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2011-03-10,2010,1966,1610612748,310310014,1,4,57,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Los Angeles Lakers",-161,-5,,,,,
"LeBron James","Miami Heat",2011-03-06,2010,1966,1610612748,310306014,1,4,10,1,"Fadeaway Jump Shot","2PT Field Goal",20,"Chicago Bulls",-199,23,,,,,
"LeBron James","Miami Heat",2012-04-19,2011,1966,1610612748,320419014,1,0,02,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Chicago Bulls",116,145,,,,,
"LeBron James","Miami Heat",2011-02-25,2010,1966,1610612748,310225014,3,1,35,1,"Fadeaway Jump Shot","2PT Field Goal",21,"Washington Wizards",217,22,,,,,
"LeBron James","Miami Heat",2013-11-25,2013,1966,1610612748,400489078,4,3,09,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Phoenix Suns",-127,91,1,2.80,"Tucker, PJ",3.70,9.10
"LeBron James","Cleveland Cavaliers",2015-02-20,2014,1966,1610612739,400579101,3,2,39,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Washington Wizards",72,132,16,18.00,"Pierce, Paul",9.80,6.60
"LeBron James","Miami Heat",2012-01-13,2011,1966,1610612748,320113007,3,3,49,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Denver Nuggets",152,96,,,,,
"LeBron James","Miami Heat",2012-02-05,2011,1966,1610612748,320205014,3,3,27,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Toronto Raptors",133,94,,,,,
"LeBron James","Cleveland Cavaliers",2016-01-29,2015,1966,1610612739,400828586,3,9,30,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Detroit Pistons",148,61,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2012-11-15,2012,1966,1610612748,400277841,3,0,24,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Denver Nuggets",-188,41,,,,,
"LeBron James","Miami Heat",2012-04-19,2011,1966,1610612748,320419014,1,1,32,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",108,137,,,,,
"LeBron James","Cleveland Cavaliers",2016-03-26,2015,1966,1610612739,400828973,2,2,37,0,"Fadeaway Jump Shot","2PT Field Goal",22,"New York Knicks",163,151,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-03-26,2015,1966,1610612739,400828973,1,0,08,1,"Fadeaway Jump Shot","2PT Field Goal",20,"New York Knicks",-106,170,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2012-03-10,2011,1966,1610612748,320310014,1,0,02,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Indiana Pacers",-112,118,,,,,
"LeBron James","Miami Heat",2012-01-13,2011,1966,1610612748,320113007,3,7,56,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Denver Nuggets",144,45,,,,,
"LeBron James","Miami Heat",2012-02-05,2011,1966,1610612748,320205014,1,0,07,0,"Fadeaway Jump Shot","2PT Field Goal",21,"Toronto Raptors",9,216,,,,,
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,4,0,20,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Oklahoma City Thunder",-174,0,,,,,
"LeBron James","Miami Heat",2012-03-07,2011,1966,1610612748,320307014,1,2,13,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",-131,83,,,,,
"LeBron James","Miami Heat",2012-01-29,2011,1966,1610612748,320129014,3,0,00,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Chicago Bulls",-45,178,,,,,
"LeBron James","Miami Heat",2012-04-03,2011,1966,1610612748,320403014,4,1,35,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Philadelphia 76ers",-54,168,,,,,
"LeBron James","Cleveland Cavaliers",2014-12-08,2014,1966,1610612739,400578595,4,7,54,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Brooklyn Nets",-131,129,1,7.20,"Karasev, Sergey",2.70,5.30
"LeBron James","Miami Heat",2012-03-06,2011,1966,1610612748,320306014,3,7,12,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Brooklyn Nets",192,17,,,,,
"LeBron James","Miami Heat",2012-03-02,2011,1966,1610612748,320302026,4,8,48,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Utah Jazz",195,-2,,,,,
"LeBron James","Miami Heat",2012-01-29,2011,1966,1610612748,320129014,2,2,59,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",-149,93,,,,,
"LeBron James","Miami Heat",2012-03-29,2011,1966,1610612748,320329014,1,10,05,1,"Fadeaway Jump Shot","2PT Field Goal",21,"Dallas Mavericks",-171,126,,,,,
"LeBron James","Miami Heat",2013-11-16,2013,1966,1610612748,400489009,3,4,53,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Charlotte Hornets",-87,148,9,8.80,"Taylor, Jeff",4.40,0.00
"LeBron James","Miami Heat",2011-02-24,2010,1966,1610612748,310224004,2,2,32,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",-177,6,,,,,
"LeBron James","Miami Heat",2012-04-10,2011,1966,1610612748,320410014,3,4,19,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Boston Celtics",181,58,,,,,
"LeBron James","Miami Heat",2013-11-09,2013,1966,1610612748,400488962,2,3,00,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Boston Celtics",2,186,6,6.60,"Wallace, Gerald",5.30,2.20
"LeBron James","Miami Heat",2014-04-12,2013,1966,1610612748,400490065,3,2,12,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",-155,-2,5,5.90,"Scott, Mike",4.70,5.10
"LeBron James","Miami Heat",2012-03-26,2011,1966,1610612748,320326011,3,7,48,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Indiana Pacers",-157,15,,,,,
"LeBron James","Miami Heat",2012-01-27,2011,1966,1610612748,320127014,3,5,51,0,"Fadeaway Jump Shot","2PT Field Goal",19,"New York Knicks",170,105,,,,,
"LeBron James","Miami Heat",2011-02-24,2010,1966,1610612748,310224004,1,0,12,1,"Fadeaway Jump Shot","2PT Field Goal",22,"Chicago Bulls",58,219,,,,,
"LeBron James","Miami Heat",2013-02-14,2012,1966,1610612748,400278507,3,3,51,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Oklahoma City Thunder",-138,126,,,,,
"LeBron James","Miami Heat",2014-04-11,2013,1966,1610612748,400490053,1,7,15,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Indiana Pacers",182,66,1,3.40,"George, Paul",4.90,2.00
"LeBron James","Miami Heat",2014-02-18,2013,1966,1610612748,400489671,3,2,40,0,"Fadeaway Jump Shot","3PT Field Goal",25,"Dallas Mavericks",-221,119,3,5.30,"Wright, Brandan",4.70,3.00
"LeBron James","Miami Heat",2012-01-13,2011,1966,1610612748,320113007,1,11,02,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Denver Nuggets",-150,1,,,,,
"LeBron James","Miami Heat",2014-04-11,2013,1966,1610612748,400490053,4,2,20,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Indiana Pacers",-134,134,4,4.00,"George, Paul",4.10,6.10
"LeBron James","Miami Heat",2013-02-20,2012,1966,1610612748,400278522,2,4,57,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Atlanta Hawks",-185,4,,,,,
"LeBron James","Cleveland Cavaliers",2016-12-02,2016,1966,1610612739,400899728,4,5,51,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",-171,8,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2013-03-24,2012,1966,1610612748,400278761,3,7,57,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Charlotte Hornets",-123,96,,,,,
"LeBron James","Miami Heat",2014-01-29,2013,1966,1610612748,400489548,3,9,09,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Oklahoma City Thunder",179,1,7,7.50,"Jones, Perry",6.10,7.10
"LeBron James","Miami Heat",2013-03-24,2012,1966,1610612748,400278761,3,0,01,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Charlotte Hornets",-103,127,,,,,
"LeBron James","Miami Heat",2013-11-03,2013,1966,1610612748,400488915,2,2,36,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Washington Wizards",-120,148,2,4.10,"Booker, Trevor",3.30,1.40
"LeBron James","Miami Heat",2013-03-25,2012,1966,1610612748,400278769,3,9,27,0,"Fadeaway Jump Shot","2PT Field Goal",21,"Orlando Magic",-128,167,,,,,
"LeBron James","Miami Heat",2013-03-25,2012,1966,1610612748,400278769,3,6,40,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Orlando Magic",136,107,,,,,
"LeBron James","Miami Heat",2013-04-06,2012,1966,1610612748,400278860,2,0,56,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Philadelphia 76ers",190,-8,,,,,
