name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Mike Conley","Memphis Grizzlies",2015-11-25,2015,3195,1610612763,400828107,3,4,26,1,"Driving Floating Bank Jump Shot","2PT Field Goal",17,"Houston Rockets",9,178,1,2.60,"Howard, Dwight",1.20,0.00
"Mike Conley","Memphis Grizzlies",2015-10-29,2015,3195,1610612763,400827905,4,4,27,0,"Driving Floating Jump Shot","2PT Field Goal",17,"Indiana Pacers",-145,90,20,18.20,"Mahinmi, Ian",4.80,4.50
"Mike Conley","Memphis Grizzlies",2013-12-30,2013,3195,1610612763,400489327,1,7,22,0,"Fadeaway Jump Shot","3PT Field Goal",23,"Chicago Bulls",-231,-19,0,0.60,"Hinrich, Kirk",2.10,1.90
"Mike Conley","Memphis Grizzlies",2010-12-01,2010,3195,1610612763,301201001,3,8,27,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Atlanta Hawks",176,31,,,,,
"Mike Conley","Memphis Grizzlies",2012-02-02,2011,3195,1610612763,320202001,1,1,20,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",72,142,,,,,
"Mike Conley","Memphis Grizzlies",2015-12-23,2015,3195,1610612763,400828314,1,6,34,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Washington Wizards",-169,95,8,8.60,"Gortat, Marcin",5.50,24.00
"Mike Conley","Memphis Grizzlies",2013-12-21,2013,3195,1610612763,400489265,1,4,24,1,"Fadeaway Jump Shot","2PT Field Goal",15,"New York Knicks",-30,149,6,4.10,"Udrih, Beno",4.60,8.00
"Mike Conley","Memphis Grizzlies",2015-01-21,2014,0,1610612763,0,2,0,00,0,"Floating Jump shot","2PT Field Goal",18,"Toronto Raptors",6,184,5,2.90,"Lowry, Kyle",12.30,0.00
"Mike Conley","Memphis Grizzlies",2015-12-11,2015,3195,1610612763,400828225,3,11,19,0,"Floating Jump shot","2PT Field Goal",16,"Charlotte Hornets",-117,116,7,10.00,"Walker, Kemba",3.30,0.70
"Mike Conley","Memphis Grizzlies",2013-11-02,2013,3195,1610612763,400488909,3,5,24,0,"Floating Jump shot","2PT Field Goal",19,"Dallas Mavericks",166,107,1,3.90,"Blair, DeJuan",7.40,19.50
"Mike Conley","Memphis Grizzlies",2014-12-16,2014,3195,1610612763,400578657,1,0,07,0,"Floating Jump shot","2PT Field Goal",16,"Golden State Warriors",88,138,20,19.20,"Curry, Stephen",2.10,4.80
"Mike Conley","Memphis Grizzlies",2015-11-07,2015,3195,1610612763,400827978,2,0,01,0,"Floating Jump shot","3PT Field Goal",24,"Utah Jazz",37,247,4,3.70,"Burke, Trey",2.20,0.00
