name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"JJ Redick","Los Angeles Clippers",2016-02-20,2015,3024,1610612746,400828709,1,8,48,1,"Driving Bank shot","2PT Field Goal",15,"Golden State Warriors",-125,92,0,0.00,,0.00,0.00
"JJ Redick","Los Angeles Clippers",2015-03-31,2014,3024,1610612746,400579403,2,2,34,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Golden State Warriors",174,85,0,0.80,"Curry, Stephen",4.10,14.40
"JJ Redick","Orlando Magic",2012-12-29,2012,3024,1610612753,400278159,2,1,44,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Toronto Raptors",43,149,,,,,
"JJ Redick","LA Clippers",2016-10-31,2016,3024,1610612746,400899495,2,0,26,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Phoenix Suns",148,57,0,0.00,,0.00,0.00
"JJ Redick","Los Angeles Clippers",2014-02-03,2013,3024,1610612746,400489591,2,5,47,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Denver Nuggets",-2,162,3,2.70,"Lawson, Ty",5.70,8.70
"JJ Redick","Orlando Magic",2012-03-18,2011,3024,1610612753,320318014,1,4,14,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Miami Heat",187,-2,,,,,
"JJ Redick","Los Angeles Clippers",2014-01-25,2013,3024,1610612746,400489520,4,2,38,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Toronto Raptors",168,0,0,0.00,"Ross, Terrence",3.50,13.20
"JJ Redick","Orlando Magic",2013-01-27,2012,3024,1610612753,400278374,4,6,33,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Detroit Pistons",102,170,,,,,
"JJ Redick","Orlando Magic",2013-01-16,2012,3024,1610612753,400278291,3,7,15,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Indiana Pacers",-65,153,,,,,
"JJ Redick","Orlando Magic",2012-12-12,2012,3024,1610612753,400278030,1,1,08,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Atlanta Hawks",-161,22,,,,,
"JJ Redick","Orlando Magic",2013-01-09,2012,3024,1610612753,400278244,3,1,29,0,"Fadeaway Jump Shot","3PT Field Goal",24,"Denver Nuggets",133,205,,,,,
