name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kyrie Irving","Cleveland Cavaliers",2014-04-04,2013,6442,1610612739,400490005,1,7,47,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Atlanta Hawks",124,146,15,13.00,"Millsap, Paul",4.10,11.70
"Kyrie Irving","Cleveland Cavaliers",2014-02-07,2013,6442,1610612739,400489615,2,3,41,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Washington Wizards",106,132,9,8.70,Nene,2.80,14.70
"Kyrie Irving","Cleveland Cavaliers",2016-11-27,2016,6442,1610612739,400899695,1,10,23,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Philadelphia 76ers",166,-6,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2015-03-06,2014,6442,1610612739,400579207,3,5,53,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",100,118,2,2.40,"Teague, Jeff",1.90,10.70
"Kyrie Irving","Cleveland Cavaliers",2014-02-03,2013,6442,1610612739,400489590,4,3,25,0,"Fadeaway Jump Shot","3PT Field Goal",22,"Dallas Mavericks",226,4,0,0.70,"Ellis, Monta",2.10,17.80
"Kyrie Irving","Cleveland Cavaliers",2013-01-26,2012,6442,1610612739,400278362,3,2,20,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Toronto Raptors",157,-8,,,,,
"Kyrie Irving","Cleveland Cavaliers",2013-12-06,2013,6442,1610612739,400489155,2,4,11,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",23,153,2,2.30,"Carroll, DeMarre",4.80,11.00
"Kyrie Irving","Cleveland Cavaliers",2013-01-22,2012,6442,1610612739,400278334,3,2,29,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Boston Celtics",-127,104,,,,,
"Kyrie Irving","Cleveland Cavaliers",2013-01-22,2012,6442,1610612739,400278334,3,8,35,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Boston Celtics",189,36,,,,,
"Kyrie Irving","Cleveland Cavaliers",2014-12-04,2014,6442,1610612739,400578565,2,0,51,0,"Fadeaway Jump Shot","2PT Field Goal",16,"New York Knicks",-168,23,9,7.20,"Larkin, Shane",2.60,10.50
"Kyrie Irving","Cleveland Cavaliers",2013-12-10,2013,6442,1610612739,400489183,2,1,39,1,"Fadeaway Jump Shot","2PT Field Goal",17,"New York Knicks",-138,105,0,1.00,"Felton, Raymond",3.50,7.30
"Kyrie Irving","Cleveland Cavaliers",2016-11-01,2016,6442,1610612739,400899497,3,4,35,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Houston Rockets",191,-1,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2013-12-23,2013,6442,1610612739,400489281,2,3,06,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Detroit Pistons",-169,-35,7,6.00,"Smith, Josh",4.60,17.60
"Kyrie Irving","Cleveland Cavaliers",2016-03-09,2015,6442,1610612739,400828844,2,1,00,0,"Fadeaway Jump Shot","3PT Field Goal",23,"Sacramento Kings",228,61,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2013-01-22,2012,6442,1610612739,400278334,1,1,42,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Boston Celtics",163,-3,,,,,
"Kyrie Irving","Cleveland Cavaliers",2014-01-17,2013,6442,1610612739,400489463,4,1,33,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Denver Nuggets",149,61,11,7.60,"Robinson, Nate",2.80,12.20
"Kyrie Irving","Cleveland Cavaliers",2014-04-04,2013,6442,1610612739,400490005,1,2,45,0,"Fadeaway Jump Shot","2PT Field Goal",20,"Atlanta Hawks",-93,181,17,15.50,"Scott, Mike",5.10,9.00
"Kyrie Irving","Cleveland Cavaliers",2013-01-19,2012,6442,1610612739,400278318,4,6,11,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Utah Jazz",157,-22,,,,,
"Kyrie Irving","Cleveland Cavaliers",2014-02-26,2013,6442,1610612739,400489731,3,6,19,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Oklahoma City Thunder",166,12,1,2.10,"Sefolosha, Thabo",4.20,3.00
"Kyrie Irving","Cleveland Cavaliers",2016-10-28,2016,6442,1610612739,400899429,3,9,25,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Toronto Raptors",169,16,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2013-11-30,2013,6442,1610612739,400489115,4,5,14,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",100,148,4,3.20,"Deng, Luol",5.20,3.00
"Kyrie Irving","Cleveland Cavaliers",2013-11-20,2013,6442,1610612739,400489035,3,9,59,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Washington Wizards",95,154,0,0.80,Nene,5.70,13.10
"Kyrie Irving","Cleveland Cavaliers",2012-11-07,2012,6442,1610612739,400277785,4,2,18,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Golden State Warriors",127,83,,,,,
"Kyrie Irving","Cleveland Cavaliers",2014-12-12,2014,6442,1610612739,400578628,4,3,46,1,"Fadeaway Jump Shot","2PT Field Goal",18,"New Orleans Pelicans",-117,148,8,7.00,"Evans, Tyreke",5.30,15.20
"Kyrie Irving","Cleveland Cavaliers",2014-12-25,2014,6442,1610612739,400578721,1,2,11,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Miami Heat",157,45,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2016-03-18,2015,6442,1610612739,400828907,4,8,15,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Orlando Magic",-171,-11,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2014-11-21,2014,6442,1610612739,400578471,2,11,22,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Washington Wizards",143,110,4,4.60,"Beal, Bradley",5.30,3.90
"Kyrie Irving","Cleveland Cavaliers",2016-03-13,2015,6442,1610612739,400828870,3,11,41,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Los Angeles Clippers",-35,175,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2012-12-19,2012,6442,1610612739,400278090,2,0,12,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Boston Celtics",-146,116,,,,,
"Kyrie Irving","Cleveland Cavaliers",2012-12-14,2012,6442,1610612739,400278049,3,7,52,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Milwaukee Bucks",-133,146,,,,,
"Kyrie Irving","Cleveland Cavaliers",2015-01-11,2014,6442,1610612739,400578853,2,3,43,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Sacramento Kings",138,86,4,6.40,"Collison, Darren",4.80,5.00
"Kyrie Irving","Cleveland Cavaliers",2014-02-03,2013,6442,1610612739,400489590,3,9,52,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Dallas Mavericks",-172,3,0,1.00,"Ellis, Monta",6.00,8.70
"Kyrie Irving","Cleveland Cavaliers",2012-12-14,2012,6442,1610612739,400278049,1,0,00,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Milwaukee Bucks",47,162,,,,,
"Kyrie Irving","Cleveland Cavaliers",2015-03-04,2014,6442,1610612739,400579192,4,10,45,1,"Floating Jump shot","2PT Field Goal",20,"Toronto Raptors",-56,198,3,3.40,"Patterson, Patrick",3.40,0.10
"Kyrie Irving","Cleveland Cavaliers",2012-12-18,2012,6442,1610612739,400278077,4,3,12,1,"Floating Jump shot","2PT Field Goal",18,"Toronto Raptors",182,-11,,,,,
"Kyrie Irving","Cleveland Cavaliers",2012-11-07,2012,6442,1610612739,400277785,2,0,50,0,"Floating Jump shot","2PT Field Goal",17,"Golden State Warriors",2,172,,,,,
"Kyrie Irving","Cleveland Cavaliers",2016-02-18,2015,6442,1610612739,0,2,6,35,1,"Floating Jump shot","2PT Field Goal",15,"Chicago Bulls",-81,134,0,0.00,,0.00,0.00
"Kyrie Irving","Cleveland Cavaliers",2012-03-28,2011,6442,1610612739,320328005,4,2,45,1,"Jump Bank Shot","2PT Field Goal",15,"Detroit Pistons",144,42,,,,,
