name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2016-04-13,2015,609,1610612742,400829110,4,9,55,0,"Driving Floating Jump Shot","2PT Field Goal",15,"San Antonio Spurs",19,149,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2012-01-01,2011,609,1610612742,320101016,2,0,33,0,"Fadeaway Bank shot","2PT Field Goal",16,"Minnesota Timberwolves",-98,129,,,,,
"Dirk Nowitzki","Dallas Mavericks",2015-01-23,2014,609,1610612742,400578938,4,1,39,1,"Fadeaway Bank shot","2PT Field Goal",15,"Chicago Bulls",146,60,0,2.80,"Gibson, Taj",4.60,10.20
"Dirk Nowitzki","Dallas Mavericks",2013-04-15,2012,609,1610612742,400278928,4,8,18,1,"Fadeaway Bank shot","2PT Field Goal",15,"Memphis Grizzlies",-142,66,,,,,
"Dirk Nowitzki","Dallas Mavericks",2011-03-24,2010,609,1610612742,310324006,4,11,15,1,"Fadeaway Bank shot","2PT Field Goal",16,"Minnesota Timberwolves",155,53,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-02-15,2011,609,1610612742,320215006,1,7,26,0,"Fadeaway Bank shot","2PT Field Goal",16,"Denver Nuggets",-149,60,,,,,
"Dirk Nowitzki","Dallas Mavericks",2015-12-22,2015,609,1610612742,400828308,1,0,20,1,"Fadeaway Bank shot","2PT Field Goal",18,"Toronto Raptors",171,61,0,3.20,"Patterson, Patrick",4.00,10.10
"Dirk Nowitzki","Dallas Mavericks",2013-01-01,2012,609,1610612742,400278178,1,4,40,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Washington Wizards",182,-32,,,,,
"Dirk Nowitzki","Dallas Mavericks",2013-01-01,2012,609,1610612742,400278178,3,5,23,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Washington Wizards",173,28,,,,,
"Dirk Nowitzki","Dallas Mavericks",2014-01-17,2013,609,1610612742,400489464,1,2,07,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Phoenix Suns",144,52,5,5.90,"Frye, Channing",2.50,8.20
"Dirk Nowitzki","Dallas Mavericks",2010-12-20,2010,609,1610612742,301220014,4,4,56,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Miami Heat",47,176,,,,,
"Dirk Nowitzki","Dallas Mavericks",2012-03-29,2011,609,1610612742,320329014,1,6,28,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Miami Heat",-158,7,,,,,
"Dirk Nowitzki","Dallas Mavericks",2015-01-23,2014,609,1610612742,400578938,2,11,02,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",-150,91,1,3.80,"Noah, Joakim",4.10,5.60
"Dirk Nowitzki","Dallas Mavericks",2014-01-26,2013,609,1610612742,400489532,1,8,03,1,"Fadeaway Jump Shot","2PT Field Goal",20,"Detroit Pistons",18,203,0,1.50,"Monroe, Greg",2.00,0.20
"Dirk Nowitzki","Dallas Mavericks",2014-01-24,2013,609,1610612742,400489510,4,3,15,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Brooklyn Nets",111,137,1,4.20,"Teletovic, Mirza",4.90,12.00
"Dirk Nowitzki","Dallas Mavericks",2014-03-05,2013,609,1610612742,400489785,2,2,34,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Denver Nuggets",144,45,0,4.00,"Faried, Kenneth",3.00,10.80
"Dirk Nowitzki","Dallas Mavericks",2013-01-01,2012,609,1610612742,400278178,3,0,33,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Washington Wizards",-163,-44,,,,,
"Dirk Nowitzki","Dallas Mavericks",2015-12-26,2015,609,1610612742,400828336,1,8,12,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Chicago Bulls",153,18,0,3.20,"Gibson, Taj",2.20,12.90
"Dirk Nowitzki","Dallas Mavericks",2011-03-27,2010,609,1610612742,310327021,3,8,31,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Phoenix Suns",114,164,,,,,
