name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Chris Paul","Los Angeles Clippers",2013-02-14,2012,2779,1610612746,400278508,2,0,31,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Los Angeles Lakers",-153,0,,,,,
"Chris Paul","Los Angeles Clippers",2013-02-14,2012,2779,1610612746,400278508,1,5,33,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Los Angeles Lakers",155,11,,,,,
"Chris Paul","Los Angeles Clippers",2012-04-24,2011,2779,1610612746,320424001,2,6,11,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Atlanta Hawks",-123,149,,,,,
"Chris Paul","New Orleans Hornets",2011-01-21,2010,2779,1610612740,310121001,3,0,33,0,"Fadeaway Jump Shot","2PT Field Goal",21,"Atlanta Hawks",147,153,,,,,
"Chris Paul","Los Angeles Clippers",2013-02-28,2012,2779,1610612746,400278581,4,2,25,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Indiana Pacers",149,69,,,,,
"Chris Paul","New Orleans Hornets",2010-12-17,2010,2779,1610612740,301217003,3,4,06,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Utah Jazz",151,0,,,,,
"Chris Paul","Los Angeles Clippers",2016-03-19,2015,2779,1610612746,400828922,2,0,28,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Memphis Grizzlies",145,105,0,0.00,,0.00,0.00
"Chris Paul","Los Angeles Clippers",2016-02-10,2015,2779,1610612746,400828679,3,0,42,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Boston Celtics",186,7,0,0.00,,0.00,0.00
"Chris Paul","New Orleans Hornets",2010-11-29,2010,2779,1610612740,301129025,3,5,55,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Oklahoma City Thunder",127,146,,,,,
"Chris Paul","Los Angeles Clippers",2012-12-05,2012,2779,1610612746,400277987,2,1,24,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Dallas Mavericks",92,159,,,,,
