name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Rudy Gay","Sacramento Kings",2016-10-31,2016,3005,1610612758,400899494,1,2,54,0,"Driving Floating Jump Shot","2PT Field Goal",15,"Atlanta Hawks",112,100,0,0.00,,0.00,0.00
"Rudy Gay","Sacramento Kings",2014-01-22,2013,3005,1610612758,400489500,1,6,17,0,"Fadeaway Bank shot","2PT Field Goal",17,"Houston Rockets",173,12,3,7.80,"Harden, James",1.10,0.20
"Rudy Gay","Sacramento Kings",2016-12-09,2016,3005,1610612758,400899787,3,6,09,0,"Fadeaway Jump Shot","2PT Field Goal",18,"New York Knicks",-110,154,0,0.00,,0.00,0.00
"Rudy Gay","Memphis Grizzlies",2012-03-02,2011,3005,1610612763,320302028,3,9,05,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Toronto Raptors",179,82,,,,,
"Rudy Gay","Sacramento Kings",2013-12-21,2013,3005,1610612758,400489268,1,11,20,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Orlando Magic",157,23,5,5.80,"Harris, Tobias",2.10,4.20
"Rudy Gay","Memphis Grizzlies",2011-01-12,2010,3005,1610612763,310112008,4,3,52,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Detroit Pistons",-168,28,,,,,
"Rudy Gay","Toronto Raptors",2013-02-27,2012,3005,1610612761,400278572,4,6,40,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Cleveland Cavaliers",-149,30,,,,,
"Rudy Gay","Memphis Grizzlies",2010-12-11,2010,3005,1610612763,301211012,1,8,33,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Los Angeles Clippers",192,-10,,,,,
"Rudy Gay","Memphis Grizzlies",2012-01-16,2011,3005,1610612763,320116029,4,4,43,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Chicago Bulls",-10,192,,,,,
"Rudy Gay","Toronto Raptors",2013-11-15,2013,3005,1610612761,400488999,2,3,43,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Chicago Bulls",151,-14,3,2.80,"Butler, Jimmy",2.00,11.90
"Rudy Gay","Memphis Grizzlies",2012-01-23,2011,3005,1610612763,320123009,4,5,08,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Golden State Warriors",-105,123,,,,,
"Rudy Gay","Memphis Grizzlies",2010-12-01,2010,3005,1610612763,301201001,4,5,15,0,"Fadeaway Jump Shot","2PT Field Goal",21,"Atlanta Hawks",-133,168,,,,,
"Rudy Gay","Memphis Grizzlies",2012-01-23,2011,3005,1610612763,320123009,4,0,22,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Golden State Warriors",-157,66,,,,,
"Rudy Gay","Sacramento Kings",2015-02-10,2014,3005,1610612758,400579077,2,4,50,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Chicago Bulls",190,25,4,5.30,"Snell, Tony",4.30,14.80
"Rudy Gay","Sacramento Kings",2016-11-20,2016,3005,1610612758,400899646,4,7,59,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Toronto Raptors",-150,67,0,0.00,,0.00,0.00
"Rudy Gay","Toronto Raptors",2013-02-22,2012,3005,1610612761,400278531,3,0,00,0,"Fadeaway Jump Shot","2PT Field Goal",22,"New York Knicks",108,200,,,,,
"Rudy Gay","Memphis Grizzlies",2012-02-02,2011,3005,1610612763,320202001,3,8,44,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Atlanta Hawks",185,39,,,,,
"Rudy Gay","Memphis Grizzlies",2012-02-02,2011,3005,1610612763,320202001,1,5,10,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Atlanta Hawks",179,28,,,,,
"Rudy Gay","Sacramento Kings",2016-01-07,2015,3005,1610612758,400828426,4,10,55,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Los Angeles Lakers",182,2,2,5.90,"Russell, D'Angelo",5.00,12.70
"Rudy Gay","Sacramento Kings",2016-01-05,2015,3005,1610612758,400828410,5,1,48,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Dallas Mavericks",-70,183,3,4.00,"Pachulia, Zaza",3.80,11.20
"Rudy Gay","Memphis Grizzlies",2010-11-06,2010,3005,1610612763,301106023,3,6,56,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Sacramento Kings",105,113,,,,,
"Rudy Gay","Toronto Raptors",2013-11-22,2013,3005,1610612761,400489051,2,1,45,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Washington Wizards",184,15,4,4.60,"Webster, Martell",2.40,15.30
