name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Nicolas Batum","Charlotte Hornets",2016-12-01,2016,3416,1610612766,400899365,1,11,52,1,"Driving Bank shot","2PT Field Goal",15,"Dallas Mavericks",-147,46,0,0.00,,0.00,0.00
"Nicolas Batum","Charlotte Hornets",2016-01-01,2015,3416,1610612766,400828379,1,5,42,1,"Driving Floating Jump Shot","3PT Field Goal",24,"Toronto Raptors",-186,159,1,2.40,"Carroll, DeMarre",2.20,12.50
"Nicolas Batum","Charlotte Hornets",2016-01-01,2015,3416,1610612766,400828379,2,6,04,0,"Fadeaway Bank shot","2PT Field Goal",20,"Toronto Raptors",206,-2,0,3.50,"Carroll, DeMarre",2.90,1.10
"Nicolas Batum","Portland Trail Blazers",2014-12-04,2014,3416,1610612757,400578566,3,9,02,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Indiana Pacers",147,88,3,2.90,"Copeland, Chris",3.80,13.10
"Nicolas Batum","Portland Trail Blazers",2013-01-13,2012,3416,1610612757,400278274,3,5,50,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Oklahoma City Thunder",149,123,,,,,
"Nicolas Batum","Portland Trail Blazers",2015-01-03,2014,3416,1610612757,400578793,3,11,43,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",4,157,2,3.00,"Korver, Kyle",4.10,9.60
"Nicolas Batum","Portland Trail Blazers",2014-02-05,2013,3416,1610612757,400489601,4,2,17,1,"Fadeaway Jump Shot","2PT Field Goal",16,"New York Knicks",83,137,2,4.80,"Hardaway Jr., Tim",3.60,9.80
"Nicolas Batum","Portland Trail Blazers",2012-02-11,2011,3416,1610612757,320211006,1,1,15,0,"Fadeaway Jump Shot","2PT Field Goal",20,"Dallas Mavericks",-174,99,,,,,
"Nicolas Batum","Portland Trail Blazers",2012-10-31,2012,3416,1610612757,400277732,2,3,43,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Los Angeles Lakers",-125,127,,,,,
"Nicolas Batum","Portland Trail Blazers",2014-04-11,2013,3416,1610612757,400490060,1,7,32,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Utah Jazz",189,-28,5,3.80,"Hayward, Gordon",3.90,15.90
"Nicolas Batum","Charlotte Hornets",2016-10-29,2016,3416,1610612766,400899477,1,2,31,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Boston Celtics",28,154,0,0.00,,0.00,0.00
"Nicolas Batum","Portland Trail Blazers",2014-03-07,2013,3416,1610612757,400489797,4,6,57,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Dallas Mavericks",176,26,1,1.40,"Dalembert, Samuel",4.40,8.40
"Nicolas Batum","Portland Trail Blazers",2013-12-15,2013,3416,1610612757,400489225,1,2,52,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Detroit Pistons",155,17,4,3.50,"Singler, Kyle",3.50,16.40
"Nicolas Batum","Portland Trail Blazers",2015-02-20,2014,3416,1610612757,400579104,3,11,19,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Utah Jazz",119,126,2,3.20,"Hayward, Gordon",4.40,7.50
"Nicolas Batum","Portland Trail Blazers",2014-03-30,2013,3416,1610612757,400489972,3,1,44,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Memphis Grizzlies",166,80,3,6.80,"Udrih, Beno",3.80,7.10
