name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Stephen Curry","Golden State Warriors",2015-11-11,2015,3975,1610612744,400828007,3,2,26,1,"Driving Bank shot","3PT Field Goal",28,"Memphis Grizzlies",-89,272,5,5.60,"Smith, Russ",4.00,19.60
"Stephen Curry","Golden State Warriors",2016-11-01,2016,3975,1610612744,400899504,2,0,01,0,"Driving Floating Jump Shot","2PT Field Goal",15,"Portland Trail Blazers",-53,149,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-12-05,2015,3975,1610612744,400828177,3,1,58,0,"Driving Floating Jump Shot","2PT Field Goal",15,"Toronto Raptors",-104,110,11,8.00,"Joseph, Cory",1.40,14.70
"Stephen Curry","Golden State Warriors",2015-01-25,2014,3975,1610612744,400578957,1,6,12,1,"Fadeaway Bank shot","2PT Field Goal",15,"Boston Celtics",149,39,6,4.40,"Sullinger, Jared",3.50,15.60
"Stephen Curry","Golden State Warriors",2010-12-27,2010,3975,1610612744,301227009,1,5,20,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Philadelphia 76ers",86,179,,,,,
"Stephen Curry","Golden State Warriors",2016-02-03,2015,3975,1610612744,400828626,1,2,39,1,"Fadeaway Jump Shot","3PT Field Goal",25,"Washington Wizards",-16,252,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-13,2015,3975,1610612744,400828470,3,8,41,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Denver Nuggets",-143,75,10,6.90,"Harris, Gary",5.30,17.40
"Stephen Curry","Golden State Warriors",2014-03-16,2013,3975,1610612744,400489867,3,4,53,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",-231,82,6,4.70,"Wright, Dorell",4.50,8.00
"Stephen Curry","Golden State Warriors",2015-11-22,2015,3975,1610612744,400828087,3,11,30,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Denver Nuggets",-160,3,5,4.50,"Jokic, Nikola",6.80,11.00
"Stephen Curry","Golden State Warriors",2016-01-09,2015,3975,1610612744,400828443,2,6,48,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Sacramento Kings",-176,169,0,0.70,"Cauley-Stein, Willie",5.40,8.70
"Stephen Curry","Golden State Warriors",2011-04-11,2010,3975,1610612744,310411007,1,0,42,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Denver Nuggets",174,52,,,,,
"Stephen Curry","Golden State Warriors",2010-11-05,2010,3975,1610612744,,4,2,35,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Utah Jazz",-139,112,,,,,
"Stephen Curry","Golden State Warriors",2014-12-08,2014,3975,1610612744,400578597,1,7,31,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Minnesota Timberwolves",163,89,7,7.30,"LaVine, Zach",3.60,3.80
"Stephen Curry","Golden State Warriors",2013-02-26,2012,3975,1610612744,400278564,2,8,58,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Indiana Pacers",-157,15,,,,,
"Stephen Curry","Golden State Warriors",2016-01-13,2015,3975,1610612744,400828470,4,1,44,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Denver Nuggets",150,190,6,5.50,"Gallinari, Danilo",4.60,18.10
"Stephen Curry","Golden State Warriors",2012-11-23,2012,3975,1610612744,400277899,4,6,08,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Denver Nuggets",31,197,,,,,
