name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Josh Smith","Atlanta Hawks",2012-01-14,2011,2411,1610612737,320114001,3,9,50,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Minnesota Timberwolves",-65,148,,,,,
"Josh Smith","Atlanta Hawks",2012-04-20,2011,2411,1610612737,320420001,3,0,19,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Boston Celtics",-141,91,,,,,
"Josh Smith","Atlanta Hawks",2012-02-08,2011,2411,1610612737,320208001,1,5,31,1,"Fadeaway Jump Shot","2PT Field Goal",21,"Indiana Pacers",132,165,,,,,
"Josh Smith","Atlanta Hawks",2012-01-16,2011,2411,1610612737,320116001,1,5,04,1,"Fadeaway Jump Shot","2PT Field Goal",21,"Toronto Raptors",214,23,,,,,
"Josh Smith","Atlanta Hawks",2012-11-02,2012,2411,1610612737,400277738,1,2,12,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Houston Rockets",-27,197,,,,,
"Josh Smith","Atlanta Hawks",2013-02-06,2012,2411,1610612737,400278445,4,3,56,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Memphis Grizzlies",-158,60,,,,,
"Josh Smith","Atlanta Hawks",2013-02-08,2012,2411,1610612737,400278458,1,10,54,0,"Fadeaway Jump Shot","2PT Field Goal",19,"New Orleans Pelicans",189,31,,,,,
"Josh Smith","Atlanta Hawks",2012-03-28,2011,2411,1610612737,320328001,3,6,51,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",-144,104,,,,,
"Josh Smith","Atlanta Hawks",2011-03-18,2010,2411,1610612737,310318001,1,3,31,0,"Fadeaway Jump Shot","2PT Field Goal",20,"Miami Heat",-57,195,,,,,
"Josh Smith","Atlanta Hawks",2012-11-28,2012,2411,1610612737,400277932,3,2,11,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Charlotte Hornets",103,138,,,,,
"Josh Smith","Atlanta Hawks",2011-03-18,2010,2411,1610612737,310318001,3,7,12,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Miami Heat",-149,86,,,,,
"Josh Smith","Detroit Pistons",2014-02-12,2013,2411,1610612765,400489655,2,2,24,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Cleveland Cavaliers",182,67,3,4.30,"Clark, Earl",3.60,8.00
"Josh Smith","Atlanta Hawks",2012-04-06,2011,2411,1610612737,320406001,1,9,15,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Detroit Pistons",187,23,,,,,
"Josh Smith","Atlanta Hawks",2012-03-03,2011,2411,1610612737,320303001,3,5,10,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Oklahoma City Thunder",-73,186,,,,,
