name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kevin Martin","Oklahoma City Thunder",2013-03-08,2012,2394,1610612760,400278635,1,0,31,1,"Driving Jump shot","2PT Field Goal",16,"Charlotte Hornets",-146,72,,,,,
"Kevin Martin","Minnesota Timberwolves",2015-11-12,2015,2394,1610612750,400828012,3,0,01,1,"Fadeaway Bank shot","2PT Field Goal",15,"Golden State Warriors",-61,144,0,0.00,,0.00,0.00
"Kevin Martin","Minnesota Timberwolves",2013-11-30,2013,2394,1610612750,400489117,1,2,48,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Dallas Mavericks",-128,115,3,4.50,"Ellis, Monta",2.10,0.80
"Kevin Martin","Minnesota Timberwolves",2014-01-24,2013,2394,1610612750,400489518,2,0,02,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Golden State Warriors",-152,97,15,10.60,"Curry, Stephen",3.80,0.00
"Kevin Martin","Oklahoma City Thunder",2012-12-27,2012,2394,1610612760,400278143,1,1,11,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Dallas Mavericks",-43,173,,,,,
"Kevin Martin","Houston Rockets",2010-12-19,2010,2394,1610612745,301219023,1,10,55,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Sacramento Kings",-90,159,,,,,
"Kevin Martin","Minnesota Timberwolves",2015-02-08,2014,2394,1610612750,400579061,2,8,47,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Detroit Pistons",62,146,4,4.10,"Meeks, Jodie",2.70,19.20
"Kevin Martin","Houston Rockets",2011-02-07,2010,2394,1610612745,310207007,4,4,38,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Denver Nuggets",-177,91,,,,,
"Kevin Martin","Oklahoma City Thunder",2012-12-29,2012,2394,1610612760,400278163,4,10,00,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Houston Rockets",-177,34,,,,,
"Kevin Martin","Minnesota Timberwolves",2014-03-16,2013,2394,1610612750,400489864,1,4,47,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Sacramento Kings",-122,151,1,1.80,"Evans, Reggie",4.40,12.70
"Kevin Martin","Houston Rockets",2012-01-04,2011,2394,1610612745,320104012,1,5,10,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Los Angeles Clippers",121,159,,,,,
"Kevin Martin","Houston Rockets",2011-01-07,2010,2394,1610612745,310107019,3,8,27,0,"Fadeaway Jump Shot","3PT Field Goal",25,"Orlando Magic",-193,168,,,,,
