name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Wesley Matthews","Portland Trail Blazers",2012-02-18,2011,4032,1610612757,320218022,4,6,47,1,"Fadeaway Bank shot","2PT Field Goal",20,"Atlanta Hawks",140,146,,,,,
"Wesley Matthews","Dallas Mavericks",2016-12-09,2016,4032,1610612742,400899785,4,1,17,0,"Fadeaway Jump Shot","3PT Field Goal",24,"Indiana Pacers",207,124,0,0.00,,0.00,0.00
"Wesley Matthews","Dallas Mavericks",2016-12-14,2016,4032,1610612742,400899823,4,5,43,0,"Fadeaway Jump Shot","3PT Field Goal",25,"Detroit Pistons",197,159,0,0.00,,0.00,0.00
"Wesley Matthews","Dallas Mavericks",2016-11-14,2016,4032,1610612742,400899596,3,5,20,0,"Fadeaway Jump Shot","2PT Field Goal",18,"New York Knicks",87,160,0,0.00,,0.00,0.00
"Wesley Matthews","Portland Trail Blazers",2014-01-21,2013,4032,1610612757,400489492,2,7,43,0,"Fadeaway Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",201,142,0,2.50,"Fisher, Derek",1.50,3.30
"Wesley Matthews","Portland Trail Blazers",2014-03-11,2013,4032,1610612757,400489826,3,4,16,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Memphis Grizzlies",-179,22,0,1.60,"Lee, Courtney",2.80,3.70
"Wesley Matthews","Dallas Mavericks",2016-12-18,2016,4032,1610612742,400899853,2,4,49,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Sacramento Kings",-107,146,0,0.00,,0.00,0.00
"Wesley Matthews","Portland Trail Blazers",2013-11-05,2013,4032,1610612757,400488931,2,2,42,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Houston Rockets",-45,151,4,3.90,"Lin, Jeremy",5.30,5.50
"Wesley Matthews","Portland Trail Blazers",2013-11-17,2013,4032,1610612757,400489020,1,11,13,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Toronto Raptors",108,115,1,2.10,"DeRozan, DeMar",3.80,10.20
"Wesley Matthews","Portland Trail Blazers",2011-03-22,2010,4032,1610612757,310322022,3,5,06,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Washington Wizards",-45,170,,,,,
"Wesley Matthews","Portland Trail Blazers",2012-11-13,2012,4032,1610612757,400277827,4,7,27,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Sacramento Kings",-169,3,,,,,
"Wesley Matthews","Portland Trail Blazers",2013-11-13,2013,4032,1610612757,400488993,4,8,27,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Phoenix Suns",187,30,4,12.90,"Green, Gerald",4.00,2.80
"Wesley Matthews","Dallas Mavericks",2016-11-21,2016,4032,1610612742,400899656,1,5,41,1,"Fadeaway Jump Shot","2PT Field Goal",18,"San Antonio Spurs",146,115,0,0.00,,0.00,0.00
"Wesley Matthews","Dallas Mavericks",2016-03-28,2015,4032,1610612742,400828990,4,3,48,0,"Fadeaway Jump Shot","2PT Field Goal",20,"Denver Nuggets",114,165,0,0.00,,0.00,0.00
"Wesley Matthews","Dallas Mavericks",2016-11-06,2016,4032,1610612742,400899540,3,9,19,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Milwaukee Bucks",187,16,0,0.00,,0.00,0.00
"Wesley Matthews","Portland Trail Blazers",2014-12-15,2014,4032,1610612757,400578653,2,3,39,0,"Fadeaway Jump Shot","2PT Field Goal",18,"San Antonio Spurs",105,148,1,4.10,"Green, Danny",4.10,8.70
"Wesley Matthews","Dallas Mavericks",2016-01-08,2015,4032,1610612742,400828432,3,11,03,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Milwaukee Bucks",-166,11,0,1.90,"Parker, Jabari",5.80,19.00
"Wesley Matthews","Dallas Mavericks",2016-03-25,2015,4032,1610612742,400828967,4,1,44,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Golden State Warriors",143,115,0,0.00,,0.00,0.00
"Wesley Matthews","Portland Trail Blazers",2013-11-18,2013,4032,1610612757,400489023,4,9,28,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Brooklyn Nets",-163,72,10,8.30,"Anderson, Alan",4.00,0.00
"Wesley Matthews","Portland Trail Blazers",2011-04-05,2010,4032,1610612757,310405022,2,0,28,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Golden State Warriors",151,7,,,,,
"Wesley Matthews","Dallas Mavericks",2016-03-25,2015,4032,1610612742,400828967,1,5,08,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Golden State Warriors",-99,165,0,0.00,,0.00,0.00
"Wesley Matthews","Dallas Mavericks",2016-01-27,2015,4032,1610612742,400828578,3,10,53,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Golden State Warriors",115,139,0,0.00,,0.00,0.00
