,Expected Streaks,Name,Streaks,p-value
7,6.82906627674615,Paul Pierce,4,0.027539002015107283
47,3.3630632026505305,Josh Smith,2,0.029957618400183628
48,5.075540318766565,Jameer Nelson,2,0.055234526509779
19,7.1553153794185,Russell Westbrook,4,0.05660191190950947
10,6.590716974730671,Randy Foye,5,0.05666255640450746
50,5.821263141707731,Trevor Ariza,7,0.07520257026216448
21,10.269972777465668,Ryan Anderson,7,0.0754553916221683
27,6.228300700594677,Gerald Henderson,6,0.07594575938731785
29,7.276901158521046,John Wall,7,0.07608077973970107
8,8.198838518182258,Jason Terry,6,0.07681141947077819
3,5.495588860682761,CJ Miles,6,0.08070883041121135
22,7.210216606191546,Nicolas Batum,7,0.08073044680187547
23,10.540279847065204,James Harden,6,0.08124365692176005
40,9.338149939586373,Joe Johnson,7,0.09094006359660878
26,6.314864504169216,Brandon Jennings,7,0.0986742594148815
17,8.977709367515843,Marco Belinelli,10,0.10044597350538287
15,6.227631507900523,Mike Conley,6,0.10178238668498407
46,4.986463077187035,Luol Deng,9,0.10505063763842026
51,8.502438046614735,Kobe Bryant,6,0.10518135233075054
0,12.966802277389636,JR Smith,9,0.11202111109268409
30,7.357188240328842,Gordon Hayward,7,0.11389380584579323
49,8.806871542515077,Kevin Martin,8,0.12022745974895421
11,5.617551307386725,Rudy Gay,11,0.12287244543480369
39,11.67099874165636,Jamal Crawford,9,0.12288610379955078
13,8.74573085540283,Kyle Lowry,10,0.12531527842920986
9,13.256229581945043,LaMarcus Aldridge,12,0.13510384655657393
18,9.45620526361389,Arron Afflalo,10,0.13591770140019066
37,5.668042112716701,Isaiah Thomas,9,0.13788809813367953
2,9.174097860088184,Deron Williams,10,0.13941668813558117
31,9.320058275546469,Paul George,9,0.14030118780385747
25,8.440958584223523,DeMar DeRozan,9,0.142986796977971
35,8.329176035646302,Kemba Walker,10,0.14452768666107063
45,17.952030270570898,Kyle Korver,17,0.1473143119192738
5,11.778950245764275,Jose Calderon,11,0.15133073298518973
44,8.048587178841444,Mo Williams,11,0.1561014803652746
43,11.466585644636272,Chris Bosh,14,0.1622778102899095
16,11.302985984612064,Nick Young,13,0.1676836094446723
32,10.250197951034798,Avery Bradley,14,0.1785659159639298
20,8.22330879014067,Kevin Love,16,0.17911403140337934
4,10.21974978607983,Monta Ellis,14,0.18269237543596206
41,10.855921882672892,LeBron James,14,0.1933595656514937
14,19.49096251018489,Kevin Durant,17,0.19372958319878153
1,16.82733808090669,Chris Paul,19,0.21586225762661426
28,10.33432216710776,Wesley Matthews,15,0.21882264342394098
34,5.814199837591522,Brandon Knight,11,0.2213041516275619
6,27.755203365870592,Dirk Nowitzki,28,0.2289843909596977
38,12.51967550876138,Damian Lillard,16,0.24504889830650922
33,11.29108718579145,Kyrie Irving,14,0.2489174560912153
24,36.846056961875,Stephen Curry,34,0.25677310559138256
42,20.490681471284436,Carmelo Anthony,24,0.2602199049383588
36,22.454458796676427,Klay Thompson,30,0.2856342263561068
12,21.43959652585478,JJ Redick,26,0.3110666475679602
