name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kyle Lowry","Toronto Raptors",2015-12-07,2015,3012,1610612761,400828195,2,0,26,0,"Driving Floating Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",101,237,2,1.80,"Clarkson, Jordan",2.10,17.20
"Kyle Lowry","Toronto Raptors",2015-12-03,2015,3012,1610612761,400828165,4,0,00,1,"Driving Floating Jump Shot","3PT Field Goal",48,"Denver Nuggets",177,452,3,4.10,"Nelson, Jameer",2.30,0.00
"Kyle Lowry","Toronto Raptors",2013-02-25,2012,3012,1610612761,400278559,4,0,01,0,"Driving Jump shot","3PT Field Goal",24,"Washington Wizards",-8,249,,,,,
"Kyle Lowry","Toronto Raptors",2016-12-09,2016,3012,1610612761,400899781,3,5,14,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Boston Celtics",79,229,0,0.00,,0.00,0.00
"Kyle Lowry","Toronto Raptors",2013-12-28,2013,3012,1610612761,400489311,4,0,05,1,"Fadeaway Jump Shot","3PT Field Goal",25,"New York Knicks",-123,228,26,22.70,"Murry, Toure",3.10,1.30
"Kyle Lowry","Toronto Raptors",2016-04-01,2015,3012,1610612761,400829019,4,2,38,0,"Fadeaway Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-217,116,0,0.00,,0.00,0.00
"Kyle Lowry","Toronto Raptors",2016-12-09,2016,3012,1610612761,400899781,3,1,16,1,"Fadeaway Jump Shot","3PT Field Goal",25,"Boston Celtics",-225,120,0,0.00,,0.00,0.00
"Kyle Lowry","Houston Rockets",2012-02-06,2011,3012,1610612745,320206007,2,0,31,1,"Fadeaway Jump Shot","3PT Field Goal",26,"Denver Nuggets",-161,213,,,,,
"Kyle Lowry","Toronto Raptors",2015-11-29,2015,3012,1610612761,400828137,2,0,07,0,"Fadeaway Jump Shot","3PT Field Goal",24,"Phoenix Suns",-246,-5,0,0.00,"Leuer, Jon",2.10,4.20
"Kyle Lowry","Toronto Raptors",2015-02-24,2014,3012,1610612761,400579133,1,4,12,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Dallas Mavericks",157,184,12,11.10,"Ellis, Monta",2.70,12.90
"Kyle Lowry","Toronto Raptors",2015-02-24,2014,3012,1610612761,400579133,4,2,08,0,"Floating Jump shot","3PT Field Goal",25,"Dallas Mavericks",-81,242,9,9.40,"Barea, Jose Juan",1.90,14.70
"Kyle Lowry","Toronto Raptors",2016-02-01,2015,3012,1610612761,400828614,3,0,00,0,"Floating Jump shot","3PT Field Goal",29,"Denver Nuggets",-186,232,0,0.00,,0.00,0.00
"Kyle Lowry","Toronto Raptors",2015-12-07,2015,3012,1610612761,400828195,3,0,39,0,"Floating Jump shot","3PT Field Goal",25,"Los Angeles Lakers",117,228,11,10.10,"Russell, D'Angelo",4.30,13.90
"Kyle Lowry","Toronto Raptors",2013-02-03,2012,3012,1610612761,400278427,4,0,26,0,"Jump Bank Shot","3PT Field Goal",24,"Miami Heat",-19,242,,,,,
"Kyle Lowry","Toronto Raptors",2013-11-15,2013,3012,1610612761,400488999,4,6,55,0,"Jump Bank Shot","3PT Field Goal",23,"Chicago Bulls",231,37,1,1.70,"Hinrich, Kirk",3.30,11.80
